lat1,lon1,lat2,lon2,user,timestamp,uuid
16.5572374711,-88.6893104017,16.5571539138,-88.6892004311,Fisher_Natalie,2017-01-26 19:17:47.255178+00:00,ef0f5fe9-ebb6-45f3-9260-dae468f2a311
16.5579007860,-88.6891964078,16.5578082306,-88.6891132593,Fisher_Natalie,2017-01-26 19:17:47.258494+00:00,807207b6-534d-4f07-abbf-7b1f3992b38b
16.5575292785,-88.6892527342,16.5574585763,-88.6891561747,Fisher_Natalie,2017-01-26 19:17:47.538176+00:00,6a264377-f7ac-43fe-9502-b43a310aa257
16.5573698771,-88.6895518005,16.5573146008,-88.6894203722,Fisher_Natalie,2017-01-26 19:17:45.352671+00:00,b12225c1-1ef6-45e9-a3ee-e6f8a990f927
16.5574868572,-88.6891481280,16.5574033000,-88.6890529096,Fisher_Natalie,2017-01-26 19:17:47.689015+00:00,33c74ac9-6250-4356-a5a6-99901b5ea494
16.5578853601,-88.6890971661,16.5578095161,-88.6890234053,Fisher_Natalie,2017-01-26 19:17:47.966042+00:00,6356fc08-3daa-4e5a-a435-82a9bf4fab36
16.5578018031,-88.6893157661,16.5577272445,-88.6892393231,Fisher_Natalie,2017-01-26 19:17:48.117971+00:00,708cb7ec-5921-4205-a09e-8d930ac1ff47
16.5573351688,-88.6889590323,16.5572554680,-88.6888839304,Fisher_Natalie,2017-01-26 19:17:48.125835+00:00,775c7b20-b493-4dad-adc0-580162512c10
16.5575048541,-88.6890260875,16.5573878741,-88.6889241636,Fisher_Natalie,2017-01-26 19:17:48.619094+00:00,497d7d6e-daae-4d0c-b815-1b3ad28ff594
16.5571359168,-88.6891897023,16.5570613580,-88.6891065538,Fisher_Natalie,2017-01-26 19:17:47.817842+00:00,d0b53bb4-b080-42f2-acdf-b18f97f45013
16.5573493092,-88.6890502274,16.5572721795,-88.6889509857,Fisher_Natalie,2017-01-26 19:17:48.258346+00:00,483f6601-35c0-4d2f-985b-58bb356be178
16.5573120298,-88.6895303428,16.5572259016,-88.6894458532,Fisher_Natalie,2017-01-26 19:17:49.185548+00:00,555039c8-14c3-4f1b-b863-ba47a237fa69
16.5573261703,-88.6896228790,16.5572670375,-88.6895410717,Fisher_Natalie,2017-01-26 19:17:49.332136+00:00,0a85e551-bdf3-4034-ad14-725e9fe0eb8c
16.5573493092,-88.6896966398,16.5572811779,-88.6895987391,Fisher_Natalie,2017-01-26 19:17:49.484344+00:00,6de6b7e7-5ebc-4204-952b-df0ecc861841
16.5573904451,-88.6892017722,16.5572850344,-88.6890891194,Fisher_Natalie,2017-01-26 19:17:49.189690+00:00,2f79a7e7-e674-4827-985f-20784ae86541
16.5572554680,-88.6894807220,16.5572014772,-88.6894029379,Fisher_Natalie,2017-01-26 19:17:49.762144+00:00,426adb67-6fc3-4010-ac67-344e2bbae90e
16.5575922677,-88.6891548336,16.5574932847,-88.6890555918,Fisher_Natalie,2017-01-26 19:17:49.897547+00:00,4b72bdca-e693-416d-b15f-675ded1d3153
16.5578467954,-88.6895933747,16.5577709513,-88.6895021796,Fisher_Natalie,2017-01-26 19:17:50.055802+00:00,3d5d4f5f-0b13-4ad2-a354-722b903bad61
16.5575099961,-88.6897408962,16.5574495778,-88.6896349490,Fisher_Natalie,2017-01-26 19:17:50.185996+00:00,3d060313-dda2-44c8-a635-30979eeb9b72
16.5575871258,-88.6897315085,16.5575048541,-88.6896510422,Fisher_Natalie,2017-01-26 19:17:50.326484+00:00,dffedc45-4cc5-46e8-8607-f84e5956b790
16.5578390824,-88.6897945404,16.5577349575,-88.6897020042,Fisher_Natalie,2017-01-26 19:17:50.493032+00:00,13613824-8bbd-4381-97e4-d97f6b54bcfc
16.5575948387,-88.6893077195,16.5575112816,-88.6892232299,Fisher_Natalie,2017-01-26 19:17:50.717221+00:00,926cfbed-8d45-4333-9b3e-9fd6dc3132e0
16.5423225658,-88.6934959888,16.5422415733,-88.6934289336,Fisher_Natalie,2017-01-26 19:19:25.339411+00:00,fdd9295f-fcb6-4a06-b681-6058e5d3bc5f
16.5419098891,-88.6935952306,16.5418340388,-88.6935120821,Fisher_Natalie,2017-01-26 19:19:25.339763+00:00,87589f4d-4f1a-49e4-9c2e-fe62d594e409
16.5417273341,-88.6938741803,16.5416180581,-88.6937896907,Fisher_Natalie,2017-01-26 19:19:25.348997+00:00,5689c77a-0164-4266-b4f0-2e92ddf4b0e5
16.5421605807,-88.6937347054,16.5420667321,-88.6936542392,Fisher_Natalie,2017-01-26 19:19:25.841319+00:00,3aefc91c-dd91-4a01-928b-5e8f098d85b9
16.5420114514,-88.6935321987,16.5419356011,-88.6934638023,Fisher_Natalie,2017-01-26 19:19:25.354894+00:00,cc62dd2f-9e9d-42ca-8273-ff83363fe6cf
16.5419458859,-88.6942000687,16.5418944620,-88.6941048503,Fisher_Natalie,2017-01-26 19:19:26.127045+00:00,7a2d9f67-8153-40c8-b8a0-d1537611fa43
16.5420423057,-88.6936046183,16.5419728835,-88.6935093999,Fisher_Natalie,2017-01-26 19:19:26.277030+00:00,b12c86f3-2a03-4ff2-be1d-b8df2eafc3aa
